Status settings, Statusinstellingen
"Please adjust these settings only if you are familiar with status handling of Magento, as this may have unpredictable effects on your shop and other modules might no longer work properly. Additional information can be found in our manual.",Pas deze instellingen alleen aan wanneer u vertrouwd bent met de statusbehandeling van Magento. Dit kan namelijk onvoorziene gevolgen voor uw webshop tot gevolg hebben. Bovendien kunnen andere modules eventueel niet meer correct functioneren. Meer informatie vindt u in ons handboek.
Temporary order status:,Tijdelijke bestelstatus
Define the status for orders which have not been paid yet.,(Definieer de status voor bestellingen die nog niet betaald zijn.)
Aborted order status:,Geannuleerde bestelstatus
Confirmed order status:,Bevestigde bestelstatus
Define the status for orders which have been successfully completed by SOFORT Banking.,(Definieer de status voor bestellingen die door Online overschrijving succesvol afgesloten zijn.)
Not create invoice,Geen factuur aanmaken
(not recommended),(wordt afgeraden)
Not update status,Geen actualisering van de status uitvoeren
Order status for full refunds:,Bestelstatus voor complete terugbetalingen
Define the status for orders which have been prepared for full refunds in the SOFORT AG merchant menu. Bear in mind that refunds usually have to be carried out manually.,(Definieer de status voor bestellingen die compleet in het aanbiedermenu van Sofort GmbH als terugboeking werden gemarkeerd. Houdt u er rekening mee dat terugboekingen over het algemeen daar manueel moeten worden uitgevoerd.
Order status for payment receipt:,Bestelstatus voor betaling
(Define the status of orders for which payment has been received on your SOFORT Bank account. A SOFORT Bank account is required.),(Definieer de status voor bestellingen waarvoor een betaling op uw Online overschrijving rekening wordt vastgesteld. Hiervoor is een Deutsche Handelsbank rekening nodig.)
Order status for losses:,Bestelstatus voor niet voldane betalingen
(Define the status of orders for which no payment or a different amount has been received on your SOFORT Bank account. A SOFORT Bank account is required.),(Definieer de status voor bestelling waarvoor geen betaling wordt vastgesteld of een afwijkend bedrag op uw Online overschrijving. rekening is binnengekomen. Hiervoor is een Deutsche Handelsbank rekening nodig.)
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]","Doorsturing naar Online overschrijving. Betaling nog niet afgesloten. Transactie-ID: [[transaction_id]]. Tijd [[date]] uur"
"Payment aborted. Time: %s","Betaling geannuleerd. Tijd: %s uur"
"SOFORT Banking has been completed successfully - Transaction ID: [[transaction_id]]. Time: [[date]]","Online overschrijving succesvol afgesloten - transactie-ID: [[transaction_id]]. Tijd [[date]] uur"
"The payment has not been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Er kon geen betaling op de Online overschrijving. rekening worden vastgesteld. Controleer de betaling a.u.b. Tijd: [[date]] uur"
"The payment has been received on your SOFORT Bank account. Time: [[date]]","Bedrag is binnengekomen op de Online overschrijving. rekening. Tijd: [[date]] uur"
"An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","Er werd een van de bestelling afwijkend bedrag op de Online overschrijving rekening vastgesteld. Controleer de betaling a.u.b. Tijd: [[date]] uur"
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Deel van het bedrag wordt terugbetaald - [[refunded_amount]]. Tijd: [[date]] uur"
"Amount will be refunded. Time: [[date]]","Bedrag wordt terugbetaald. Tijd [[date]] uur"
Select the time of invoicing,Kies het tijdstip voor het opstellen van de factuur:
It is not recommended to change this setting,(Er wordt afgeraden om deze instelling te veranderen)
After finishing the payment,Na het afronden van de betaling
The receipt of the money ( can be only detected with an account with SOFORT Bank),Bij de ontvangst van het bedrag (kan alleen met Deutsche Handelsbank rekening worden vastgesteld)
"If the status shouldn't be updated for this event, please choose as status %s","Wanneer er geen actualisering van de status voor dit event moet worden uitgevoerd, kies dan als status %s"
Create credit memo automatically,Creditnota automatisch aanmaken
A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.,Er wordt automatisch een creditnota aangemaakt wanneer er een transactie in het Sofort systeem teruggeboekt wordt.
en,nl_nl
"Send order confirmation","Bestelbevestiging sturen"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Doorsturing naar Online overschrijving. Betaling nog niet afgesloten. Transactie-ID: [[transaction_id]]. Tijd [[date]] uur"
"Payment is unfortunately not possible or has been cancelled by the customer. Please select another payment method.", "Betaling is niet mogelijk of geannuleerd door de klant. Selecteer een andere betaalmethode."
"Module Configuration","Moduleconfiguratie"
Payment Applicable From,Betaling van toepassing vanaf
Countries Payment Applicable From,Landen Betaling van toepassing vanaf
Accepted Currency,Geaccepteerde valuta
"(recommended payment methode)", "(aanbevolen betaalmethode)"
"Recommended payment method","aanbevolen betaalmethode"
"Enable Logging","Logboek inschakelen"
"Position in Checkout","Positie bij het afrekenen"
"Order Status configuration","Orderstatusconfiguratie"
CUSTOMER_LANDINGPAGE,"https://documents.sofort.com/sb/klantinformatie/"
